created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Fri Sep 08 23:59:52 +0000 2023,1.70E+18,@NovalAssegaf hahaha ujung2nya kok yaa .. hrs kendaraan listrik..?! ini PJ Gub layak mendptkan lagi sebungkus kwaci...atas gagasan yg 'briliiiiiiiiian'.  jgn lupa banyakin minum ramuan jamu2 kecerdasan ya pak...!,0,0,0,0,in,1.51E+18,1.70E+18,DermagaGarely,https://twitter.com/DermagaGarely/status/1700297936943354125
Fri Sep 08 23:22:38 +0000 2023,1.70E+18,Di tengah isu polusi udara dan kendaraan listrik,0,0,0,0,in,1.60E+18,1.70E+18,DiwanggaDiwang1,https://twitter.com/DiwanggaDiwang1/status/1700230808802623905
Fri Sep 08 19:33:08 +0000 2023,1.70E+18,@golkar_id Oalah nduk duk.. wes bensin ntek.. pertalite entek tapi dijual diluar negri.. malah adopsi produk gagal kendaraan listrik ala barat. klo untuk IKN okelah.. klo buat sluruh NKRI opo raa benjut.. klo melihat kelangit jangan lupa kaki tetap berpij,0,0,0,0,in,2855111228,1.70E+18,ssyfaaaa,https://twitter.com/ssyfaaaa/status/1700223636291178670
Fri Sep 08 19:04:38 +0000 2023,1.70E+18,@convomfs ...bilang kendaraan listrik adalah solusi,0,0,0,0,in,3107058236,1.70E+18,nvsghfry_,https://twitter.com/nvsghfry_/status/1700203662239510837
Fri Sep 08 17:45:15 +0000 2023,1.70E+18,FVCK KENDARAAN LISTRIK. AKU MEH TUKU JARAN,0,0,0,0,in,2311078069,1.70E+18,319ahw,https://twitter.com/319ahw/status/1700176708023050632
Fri Sep 08 15:58:09 +0000 2023,1.70E+18,keren banget sih Pak Bahlil bisa ajak perusahaan dunia buat investasi kendaraan listrik di Indonesia 🥰 Industri Baterai EV #Investasi630T https://t.co/AxCNv9RKS0,0,0,0,1,in,1.45E+18,1.70E+18,digivestasi,https://twitter.com/digivestasi/status/1700173436365254963
Fri Sep 08 15:51:31 +0000 2023,1.70E+18,Bahlil Sebut Investasi Baterai Untuk Kendaraan Listrik Totalnya Capai Rp 630 Triliun,0,0,0,1,in,1.60E+18,1.70E+18,Bintang76288009,https://twitter.com/Bintang76288009/status/1700157745683435632
Fri Sep 08 15:45:09 +0000 2023,1.70E+18,KTT ASEAN Capai Kesepakatan Kendaraan Listrik dengan 3 Negara . https://t.co/gGUwe5n6q0,0,0,0,0,in,140463427,1.70E+18,cebong_pensiun,https://twitter.com/cebong_pensiun/status/1700153579422585285
Fri Sep 08 15:31:31 +0000 2023,1.70E+18,@Ronnie_Rusli Dini ada bisnis kendaraan listrik yg main nya juga gak jauh-jauh dr orang sini juga,0,0,0,1,in,97484082,1.70E+18,ArindraVisnu,https://twitter.com/ArindraVisnu/status/1700139492407947532
Fri Sep 08 15:14:21 +0000 2023,1.70E+18,Di Tengah Riuh Kendaraan Listrik,0,0,0,1,in,41730943,1.70E+18,VIVAcoid,https://twitter.com/VIVAcoid/status/1700136925745774675
