created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Wed Sep 06 23:52:01 +0000 2023,1.69957E+18,Habis jualan kendaraan listrik,2,2,13,14,in,2907040202,1.69956E+18,Anggita_lung,https://twitter.com/Anggita_lung/status/1699556175216574913
Wed Sep 06 22:52:23 +0000 2023,1.69956E+18,Teknologi artificial intelligence (AI) atau kecerdasan buatan atau akan menghiasi IKN Nusantara. Deputi Transformasi Hijau dan Digital IKN Mohammed Ali Berawi mengatakan IKN Nusantara akan mengoperasikan kendaraan listrik otonom.  Laura Basuki Putri Ariani https://t.co/DCh7qyBTxK,0,0,11,11,in,1.10968E+18,1.69955E+18,VaniaCiprut,https://twitter.com/VaniaCiprut/status/1699554390611521920
Wed Sep 06 22:45:17 +0000 2023,1.69955E+18,Dua hal utama dalam pertemuan tingkat tinggi di jakarta kali ini.  Pertama soal ASEAN sebagai pusat peetumbuhan ekonomi di kawasan.  Kedua soal keinginan menciptakan ekositem kendaraan listrik EV ASEAN.  @Dr_Moeldoko  #MoeldokoPenjagaNKRI https://t.co/JuwnwNdYZv,0,0,0,0,in,1.16475E+18,1.69955E+18,ErwinArditya,https://twitter.com/ErwinArditya/status/1699550997977448512
Wed Sep 06 22:31:48 +0000 2023,1.69955E+18,Wah terlalu muluk2 ini mah.. Mgkn BBM d gratiskan tp kendaraan wajib pakai kendaraan listrik 😂😂,0,0,0,0,in,1.1648E+18,1.69923E+18,3momss,https://twitter.com/3momss/status/1699541167686218230
Wed Sep 06 21:52:44 +0000 2023,1.69954E+18,@tvOneNews Bulshit... bbm mau gratis😅 Emang kajiannya macam mana...😅 Yang ada rakyat digiring pake kendaraan listrik...jadi ga ada pemakaian bbm lagi di masyarakat... Dah kebaca arahnya...,0,0,0,0,in,1.60685E+18,1.69938E+18,BangKibo20,https://twitter.com/BangKibo20/status/1699489490941927625
Wed Sep 06 18:27:24 +0000 2023,1.69949E+18,@psi_id Pemerintah masih subsidi pembelian kendaraan listrik gak ya?,0,0,1,0,in,1.32763E+18,1.69946E+18,ibnuatto20,https://twitter.com/ibnuatto20/status/1699483609143599526
Wed Sep 06 18:04:01 +0000 2023,1.69948E+18,@Uncle_Gober324 Kendaraan di PCR Dan hasil nya dapat merusak bagian mesinnya dan smua nya disuruh pakai kendaraan listrik,0,0,0,0,in,202559038,1.69948E+18,GATRA_com,https://twitter.com/GATRA_com/status/1699475052419506225
Wed Sep 06 17:41:34 +0000 2023,1.69948E+18,Hyundai Motors Indonesia Berkolaborasi dengan PT Lippo Malls Indonesia Hadirkan Stasiun Pengisian Daya Kendaraan Listrik di 52 Pusat Perbelanjaan Di Indonesia: PT Hyundai Motors Indonesia (HMID) dan PT Lippo Malls Indonesia,0,0,0,0,in,1.48345E+18,1.69947E+18,eveertth,https://twitter.com/eveertth/status/1699472338021146688
Wed Sep 06 17:30:01 +0000 2023,1.69948E+18,Neksus Sebut Nikel Indonesia Bukan untuk Baterai Kendaraan Listrik  https://t.co/l3PgkhoXf7,0,1,0,1,in,1.52804E+18,1.69903E+18,benyamin_siwy,https://twitter.com/benyamin_siwy/status/1699465888901259745
Wed Sep 06 17:19:14 +0000 2023,1.69947E+18,Presiden Jokowi dan PM Pham Minh Chinh Bahas Kerja Sama Maritim hingga Kendaraan Listrik https://t.co/cI5oL6E9pG,0,0,1,2,in,1.58519E+18,1.69946E+18,PEOPLEOFTHELIE4,https://twitter.com/PEOPLEOFTHELIE4/status/1699462775016415555
