created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sun Sep 03 23:29:12 +0000 2023,1.69848E+18,@papa_loren Orang ini cocoknya jadi mafia.. Masalah rakyat dijadikan kesempatan sebagai lahan bisnis baru...bener2 biadab. Solusi polusi jelas bukan kendaraan listrik jojon...,0,0,0,0,in,9.97779E+17,1.69819E+18,mutajir_mohamat,https://twitter.com/mutajir_mohamat/status/1698478278485369257
Sun Sep 03 23:15:35 +0000 2023,1.69847E+18,@NenkMonica Waaahhhh..........kendaraan listrik dg sumbernya PLTU batu bara,0,0,0,0,in,111807221,1.69816E+18,rangga_cndra,https://twitter.com/rangga_cndra/status/1698471183111324148
Sun Sep 03 23:01:00 +0000 2023,1.69847E+18,@tanyarlfes Yg di banjarmasin ga disuruh pake kendaraan listrik juga ?,0,0,0,1,in,1.24588E+18,1.69752E+18,habir_jais,https://twitter.com/habir_jais/status/1698428854841516301
Sun Sep 03 20:12:48 +0000 2023,1.69843E+18,@combipharID 1. Memakai kendaraan umum 2. Penghijauan di lingkungan rumah dan lingkungan RT &amp  RW 3. Mulai memakai kendaraan listrik &amp  membatasi kendaraan berbahan bakar fosil 4. Tidak membakar sampah sembarangan &amp  kurangi menggunakan plastik. ,0,0,0,0,in,4855193215,1.69836E+18,SikirbiRabo,https://twitter.com/SikirbiRabo/status/1698362094331314313
Sun Sep 03 15:47:31 +0000 2023,1.69836E+18,Yg bikin polusi ya PLTU yg punya siapa ? Kendaraan listrik solusinya ? Dasar pebisnis 🤣😂,0,0,0,1,in,46176204,1.69836E+18,stickyshed,https://twitter.com/stickyshed/status/1698361823584760287
Sun Sep 03 15:46:27 +0000 2023,1.69836E+18,Lalu lintas di Shenzhen jadi sunyi akibat sebagian besar masyarakat menggunakan kendaraan listrik 😲 https://t.co/MNg7e7A7Oz,0,0,0,0,in,9.35869E+17,1.69836E+18,chingcirivietz,https://twitter.com/chingcirivietz/status/1698355501447381192
Sun Sep 03 15:21:20 +0000 2023,1.69836E+18,Gak kebayang sales mobil yg berbahan BBM target jualannye gimane tuh? Wkwkwkwkw..kendaraan listrik apa bisa dibuat mudik lebih dr 55 kilometer? 🤣 Lanjutin Pak Ganjer menyengsarakan Relawan dan Rakyat 😂 https://t.co/4U1SiKAbHd,0,0,0,0,in,1.39503E+18,1.69816E+18,imspta_,https://twitter.com/imspta_/status/1698355177252860334
Sun Sep 03 15:20:02 +0000 2023,1.69836E+18,@tanyarlfes Meanwhile menterinya nyutuh pake kendaraan listrik,0,1,0,1,in,219074238,1.69834E+18,aadonon,https://twitter.com/aadonon/status/1698354771743424657
Sun Sep 03 15:18:26 +0000 2023,1.69835E+18,@hakimsrg Sudah pernah punya merk Emoto sebelum digembar gemborkan kendaraan listrik. Namun akhirnya saya jual juga. Berbagai alasan mengharuskan saya jual. 🤭,0,0,0,10,in,87159303,1.69835E+18,taosophie,https://twitter.com/taosophie/status/1698349269718319562
Sun Sep 03 14:56:34 +0000 2023,1.69835E+18,Anak sultan... mau bobo aja diantar khusus kendaraan listrik. 🙀😹🔨  Btw MET istirohat Baraya sajagad temlen 😹😴 https://t.co/PdBLSGJVzm,0,0,0,0,in,255866913,1.69834E+18,hariankompas,https://twitter.com/hariankompas/status/1698340329131327708
