created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Aug 15 22:01:27 +0000 2023,1.69157E+18,@detikcom Ujung ujungnya disuruh beli kendaraan listrik,0,0,0,0,in,1.541E+18,1.69144E+18,sisyu75,https://twitter.com/sisyu75/status/1691570824283873735
Tue Aug 15 21:34:36 +0000 2023,1.69156E+18,@ainunnajib @jokowi Kalo memang asalnya dari batubara yaaa sebaiknya segera dicari solusinya. Bukan pindah ke IKN atau pejabat malah jadi marketing kendaraan listrik,0,0,0,0,in,369898854,1.69128E+18,warsito_al,https://twitter.com/warsito_al/status/1691564069520859488
Tue Aug 15 20:39:35 +0000 2023,1.69155E+18,"ekhemmm akan ada acara 'peduli lingkungan' dari provinsi yg satu ini nih.. gimmick dong? kendaraan listrik politik kah? adele once said we both know we ain't kids no more""""",0,0,0,0,in,1.37697E+18,1.69155E+18,mar_art023,https://twitter.com/mar_art023/status/1691550225083822375
Tue Aug 15 20:28:00 +0000 2023,1.69155E+18,@KementerianESDM Kalau listriknya masih dari pltu berbahan batubara maka konversi ke kendaraan listrik hanya akan memperparah polusi udara. Lebih baik kendaraan biodiesel: rantai konversi pendek,0,0,0,0,in,359386229,1.69152E+18,meranoir,https://twitter.com/meranoir/status/1691521666508345344
Tue Aug 15 20:06:22 +0000 2023,1.69154E+18,abis ini makin diwajibkan buat gunain kendaraan listrik,0,0,0,0,in,1.67009E+18,1.69151E+18,AshitoAoi7,https://twitter.com/AshitoAoi7/status/1691510398091251712
Tue Aug 15 18:46:06 +0000 2023,1.69152E+18,Emang ending dan goalsnya tuh buat proyek kendaraan listrik udah!,0,0,0,0,in,1.53232E+18,1.69149E+18,OllangKobok,https://twitter.com/OllangKobok/status/1691507145676562432
Tue Aug 15 18:01:20 +0000 2023,1.69151E+18,Pak 4 in 1 bukan solusi apalagi kendaraan listrik😭 alangkah baiknya coba dimulai dari bpk Budi Karya Sumadi sbg Menteri perhub memberi contoh dan mengajak Presiden dan menteri-menteri lainnya menggunakan transportasi umum untuk kegiatan bekerjanya  https://t.co/vET4h56uRh,0,0,0,0,in,383012129,1.69136E+18,indahinn_,https://twitter.com/indahinn_/status/1691495459108573185
Tue Aug 15 17:48:24 +0000 2023,1.69151E+18,@adamantium9929 @JR_Cyrillus @idextratime @bliblidotcom Sama aja sih bang kehabisan minyak/ peralihan dari minyak ke energi terbarukan (kendaraan listrik). Biar ada sektor lain sebagai pemasukan untuk negara. (Antisipasi),0,0,0,0,in,8.46064E+17,1.69149E+18,InuBachrudin,https://twitter.com/InuBachrudin/status/1691492679434338304
Tue Aug 15 17:20:53 +0000 2023,1.6915E+18,@adarwis Jangan mau dibodohi disuruh beli kendaraan listrik,0,2,2,53,in,34871573,1.69144E+18,jflowrighthere,https://twitter.com/jflowrighthere/status/1691489071007477760
Tue Aug 15 17:01:58 +0000 2023,1.6915E+18,@adarwis Berarti kendaraan listrik bukanlah solusinya wqwq,0,1,0,3,in,74708725,1.69148E+18,Dedetabdillah,https://twitter.com/Dedetabdillah/status/1691479223129739264
