created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sat Aug 12 22:24:51 +0000 2023,1.69049E+18,@txtdrpemerintah kendaraan listrik?trus yg dipake ngecharge itu listrik dgn bahan bakar apa?batu bara?minyak bumi?podo aeee boooss,0,0,0,0,in,150600718,1.69029E+18,ANDYEKO_P,https://twitter.com/ANDYEKO_P/status/1690489550135816192
Sat Aug 12 22:18:45 +0000 2023,1.69049E+18,@GreenpeaceID Coba deh kalo kewajiban konversi ke kendaraan listrik sudah diteken masih rajin ngetuit gini gak,0,0,0,0,in,1.60357E+18,1.69031E+18,motoretronin,https://twitter.com/motoretronin/status/1690488014450167808
Sat Aug 12 22:04:59 +0000 2023,1.69048E+18,@detikcom Diendorse kendaraan listrik nih kayaknya?,0,0,0,1,in,2804042143,1.69044E+18,Iwan_Sugli,https://twitter.com/Iwan_Sugli/status/1690484550777098240
Sat Aug 12 21:35:34 +0000 2023,1.69048E+18,@GreenpeaceID Dan solusinya adalah mengganti kendaraan bermotor konvensional dengan kendaraan listrik. Apakah selama ini kendaraan bermotor konvensional menggunakan bahan bakar batubara untuk menggerakkan mesin?,0,6,1,5,in,1.30565E+18,1.69031E+18,ArifLabMed,https://twitter.com/ArifLabMed/status/1690477149306937344
Sat Aug 12 20:44:00 +0000 2023,1.69046E+18,darurat polusi apaan sih? biar kendaraan listrik laku kahhh??? mikroplastik begimane mikroplastiiikkk???,0,0,0,0,in,1.24555E+18,1.69046E+18,interpreton,https://twitter.com/interpreton/status/1690464173522931713
Sat Aug 12 20:39:47 +0000 2023,1.69046E+18,Kepala Staf Kepresidenan @dr_moeldoko mendorong produsen baterai kendaraan listrik untuk terus berinovasi guna menjawab isu-isu berkaitan baterai kendaraan listrik. https://t.co/LeaNXJhWGW #MoeldokoPenjagaNKRI https://t.co/66ixnZO9ZX,0,0,6,7,in,1.39123E+18,1.69046E+18,Maia271430,https://twitter.com/Maia271430/status/1690463111277690881
Sat Aug 12 18:59:09 +0000 2023,1.69044E+18,@ARSIPAJA 10. Kewajiban untuk memiliki garasi untuk yang memiliki kendaraan  11. Membuat aturan UU tentang kendaraan listrik dari batas daya pengisian,0,0,0,0,in,1.45214E+18,1.69043E+18,gimmeyourday,https://twitter.com/gimmeyourday/status/1690434302507417600
Sat Aug 12 18:45:19 +0000 2023,1.69043E+18,Ada atau tidak ada demand tetap harus dibeli(?) sehingga merugi terus menerus  Kalau iya solusinya kendaraan listrik maka ada penyerapan demand tapi kan pembakarannya tetep ada (?) belum lagi sampah batrainya Serahhh dah ah malem malem padahal 😭,0,0,0,0,in,346408980,1.69025E+18,kucingregal,https://twitter.com/kucingregal/status/1690424311113482240
Sat Aug 12 18:22:03 +0000 2023,1.69043E+18,@txtdrpemerintah Hemm kendaraan listrik,0,0,0,0,in,332291294,1.69029E+18,Ferdyan_SN,https://twitter.com/Ferdyan_SN/status/1690424174194593793
Sat Aug 12 18:05:36 +0000 2023,1.69042E+18,@ARSIPAJA gembar gembor kendaraan listrik kaya yg PLT nya udah canggih aja,0,0,0,1,in,332291294,1.69018E+18,Ferdyan_SN,https://twitter.com/Ferdyan_SN/status/1690414527417114624
Sat Aug 12 18:05:04 +0000 2023,1.69042E+18,@txtdrpemerintah Kendaraan Listrik di titik kendaraan jalan memang gak ada emosi karbon. Tp polusi yg dihasilkan dari sumber energi pembangkit listriknya itu bisa 2-3x lipat lebih besar. Panjangnya distribusi bahan bakar ke Pembangkit listrik terus menuju,0,0,0,0,in,1450670941,1.69029E+18,howmanystarsare,https://twitter.com/howmanystarsare/status/1690410540362055681
Sat Aug 12 17:26:44 +0000 2023,1.69041E+18,@piotrj @nafasidn Jangan mimpi Mobil Listrik bisa mengurangi polisi udara kalau pembangkit yang masih mencemari udara. Kendaraan Listrik malah melonjakkan polusi udara bisa 2x lipat lebih karena panjangnya rantai energi dari asal bahan bakar pembangkit li,0,0,0,0,in,1.59052E+18,1.69041E+18,xober_,https://twitter.com/xober_/status/1690405910349504512
Sat Aug 12 17:10:53 +0000 2023,1.69041E+18,@txtdrpemerintah jutaan orang yg kerja di jakarta disuruh beli kendaraan listrik gitu? malah nambah masalah baru macet,0,2,1,7,in,170739316,1.69031E+18,hidayatul_tamoy,https://twitter.com/hidayatul_tamoy/status/1690404477969514496
Sat Aug 12 17:09:23 +0000 2023,1.69041E+18,Yuk bisa yuk sarana dan prasarana transportasi umumnya yang dikedepankan. Krn kalo memang kendaraan bermotor pribadi ini berubah jd kendaraan listrik,0,0,0,0,in,1361718864,1.6904E+18,Zukaichi,https://twitter.com/Zukaichi/status/1690399943226425344
Sat Aug 12 17:01:55 +0000 2023,1.69041E+18,Selain endors kendaraan listrik,0,0,0,0,in,1.67173E+18,1.69038E+18,gema_muchamad8,https://twitter.com/gema_muchamad8/status/1690399451800801280
Sat Aug 12 16:52:29 +0000 2023,1.69041E+18,Ouh tujuannya memperlancar subsidi kendaraan listrik,0,0,0,0,in,462998185,1.6904E+18,alfahsy,https://twitter.com/alfahsy/status/1690397205990105088
Sat Aug 12 16:46:48 +0000 2023,1.6904E+18,@GreenpeaceID Ada yg bilang solusinya hanya dengan menggunakan kendaraan listrik. Dzolim kabeh masih mikir dagang,0,0,0,0,in,1.24884E+18,1.69018E+18,summerbunno,https://twitter.com/summerbunno/status/1690395127536336896
Sat Aug 12 16:36:38 +0000 2023,1.6904E+18,Yang teriak udara buruk solusinya kendaraan listrik,0,0,0,0,in,1.23837E+18,1.69034E+18,Kucingnangiss,https://twitter.com/Kucingnangiss/status/1690390840454393856
Sat Aug 12 16:28:47 +0000 2023,1.6904E+18,Solusinya malah nanem pohon dan kendaraan listrik wkwkwk,0,1,11,16,in,1.40005E+18,1.69039E+18,Gagak_Rimang_,https://twitter.com/Gagak_Rimang_/status/1690388064286466048
Sat Aug 12 16:26:50 +0000 2023,1.6904E+18,Bung Hatta sosok teladan yg tidak bisa membeli sepatu bally idamannya. Menolak menggunakan pengaruh dirinya utk memperkaya diri sendiri. Beda dgn pejabat jaman now! Rekomendasiin dan subsidi motor-mobil listrik soalnya doi jg pengusaha kendaraan listrik. Norak anjir!,0,0,0,0,in,48933389,1.69039E+18,boahaya,https://twitter.com/boahaya/status/1690386747711188992
Sat Aug 12 16:19:32 +0000 2023,1.6904E+18,@susipudjiastuti solusinya kendaraan listrik,0,0,0,0,in,1.55977E+18,1.69029E+18,sengkuni_96,https://twitter.com/sengkuni_96/status/1690385112297619456
Sat Aug 12 16:17:54 +0000 2023,1.6904E+18,Cerdas dan beneran mikir rakyat ya. Bukan jualan kendaraan listrik kaya opung,0,0,0,0,in,260700564,1.69026E+18,RFahrinaldo,https://twitter.com/RFahrinaldo/status/1690383980464586754
Sat Aug 12 16:09:39 +0000 2023,1.6904E+18,@Luckymee91 @amatalidla @txtdarireyy @JustDonzh @idx_channel @piotrj @nafasidn subsidi juga diberikan ke pengguna kok. kendaraan listrik itu bebas pajak,0,0,0,0,in,1.40795E+18,1.69025E+18,GodAres81,https://twitter.com/GodAres81/status/1690383148243353600
Sat Aug 12 16:06:28 +0000 2023,1.69039E+18,@txtdrpemerintah Arahnya jelas ke IKN dan kendaraan listrik 🤢,0,1,24,80,in,379288910,1.69038E+18,pengarang_sajak,https://twitter.com/pengarang_sajak/status/1690382595123740672
Sat Aug 12 15:52:47 +0000 2023,1.69039E+18,@idx_channel @amatalidla @piotrj @nafasidn Kok solusinya selalu penggunaan kendaraan listrik,0,0,0,0,in,1.56285E+18,1.69029E+18,sygjamurcrspy,https://twitter.com/sygjamurcrspy/status/1690381846537027584
Sat Aug 12 15:52:36 +0000 2023,1.69039E+18,@sosmedkeras Kata penguasa solusinya kendaraan listrik,0,0,0,0,in,1.20509E+18,1.69029E+18,_madicebear,https://twitter.com/_madicebear/status/1690379657798103040
Sat Aug 12 15:41:35 +0000 2023,1.69039E+18,KSP Moeldoko mendorong produsen baterai kendaraan listrik untuk terus berinovasi guna menjawab isu-isu berkaitan baterai kendaraan listrik. Pengembangan ekosistem KBLBB di Indonesia telah membawa angin segar bagi industri baterai dlm negeri.  @Dr_Moeldoko #MoeldokoPenjagaNKRI https://t.co/fzQ5F1W40D,0,0,7,7,in,1.45403E+18,1.69038E+18,knalpot_2tak,https://twitter.com/knalpot_2tak/status/1690378456515973120
